turn,player,money,tap
28,1,725,453
29,0,2304,3660
29,1,925,453
0,0,1500,1148
0,1,1635,1203
1,0,1500,1148
1,1,1635,1203
2,0,1450,1148
2,1,1585,1528
3,0,1450,1148
3,1,1585,1528
4,0,1650,1148
4,1,1585,1528
5,0,1650,1148
5,1,1585,1528
6,0,1650,1148
6,1,1585,1528
7,0,1650,1148
7,1,1585,1528
8,0,1650,1148
8,1,1585,1528
9,0,1650,1148
9,1,1585,1528
10,0,1650,1148
10,1,1585,1528
11,0,1650,1148
11,1,1585,1528
12,0,1650,1148
12,1,1585,1528
13,0,1650,1148
13,1,1585,1528
14,0,1650,1148
14,1,1585,1528
15,0,1650,1148
15,1,1535,1528
16,0,1650,1148
16,1,1535,1528
17,0,1830,2088
17,1,1205,1528
18,0,1830,2088
18,1,1205,1528
19,0,1830,2088
19,1,1205,1528
20,0,1830,2088
20,1,1205,1528
21,0,1830,2088
21,1,1205,1528
22,0,1830,2088
22,1,1205,1528
23,0,1805,2578
23,1,1355,1528
24,0,1930,2753
24,1,1355,1528
25,0,1930,2753
25,1,1355,1528
26,0,1930,2753
26,1,1355,1528
27,0,1930,2753
27,1,1355,1528
28,0,1930,2753
28,1,1355,1528
29,0,1930,2753
29,1,1355,1528
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1730,2088
3,1,1255,1203
4,0,1755,2578
4,1,1255,1203
5,0,1755,2578
5,1,1255,1203
6,0,1755,2578
6,1,1255,1203
7,0,1755,2578
7,1,1455,1203
8,0,1755,2578
8,1,1455,1203
9,0,1755,2578
9,1,1455,1203
10,0,1755,2578
10,1,1455,1203
11,0,1755,2578
11,1,1455,1203
12,0,1755,2578
12,1,1455,1203
13,0,1755,2578
13,1,1455,1203
14,0,1555,2578
14,1,1655,1203
15,0,1555,2578
15,1,1655,1203
16,0,1755,2578
16,1,1655,1203
17,0,1755,2578
17,1,1655,1203
18,0,1755,2578
18,1,1655,1203
19,0,1755,2578
19,1,1855,1203
20,0,1755,2578
20,1,1855,1203
21,0,1755,2578
21,1,1855,1203
22,0,1755,2578
22,1,1855,1203
23,0,1755,2578
23,1,1855,1203
24,0,1755,2578
24,1,1855,1203
25,0,2230,3453
25,1,1005,1128
26,0,2230,3453
26,1,1005,1128
27,0,2230,3453
27,1,1205,1128
28,0,2230,3453
28,1,1205,1128
29,0,2205,3628
29,1,1155,1128
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1350,1148
2,1,1685,1528
3,0,1680,1148
3,1,1355,1528
4,0,1730,2088
4,1,1355,1528
5,0,1730,2088
5,1,1355,1528
6,0,1730,2088
6,1,1355,1528
7,0,1730,2088
7,1,1355,1528
8,0,1730,2088
8,1,1355,1528
9,0,1730,2088
9,1,1305,1528
10,0,1730,2088
10,1,1305,1528
11,0,2000,3634
11,1,505,298
12,0,2000,3634
12,1,505,298
13,0,2000,3634
13,1,505,298
14,0,2000,3634
14,1,505,298
15,0,2006,3634
15,1,699,298
16,0,2187,3650
16,1,699,298
17,0,2187,3650
17,1,699,298
18,0,2187,3650
18,1,699,298
19,0,2187,3650
19,1,699,298
20,0,2187,3650
20,1,699,298
21,0,2187,3650
21,1,699,298
22,0,2187,3650
22,1,699,298
23,0,2187,3650
23,1,699,298
24,0,2370,3676
24,1,699,298
25,0,2386,3676
25,1,683,298
26,0,2386,3676
26,1,683,298
27,0,2386,3676
27,1,683,298
28,0,2386,3676
28,1,683,298
29,0,2386,3676
29,1,683,298
0,0,1350,1148
0,1,1685,1528
1,0,1350,1148
1,1,1685,1528
2,0,1550,1148
2,1,1685,1528
3,0,1600,1148
3,1,1635,1528
4,0,1600,1148
4,1,1635,1528
5,0,1600,1148
5,1,1635,1528
6,0,1600,1148
6,1,1635,1528
7,0,1600,1148
7,1,1635,1528
8,0,1600,1148
8,1,1635,1528
9,0,1780,2088
9,1,1305,1528
10,0,1780,2088
10,1,1305,1528
11,0,1780,2088
11,1,1305,1528
12,0,1530,2088
12,1,1755,1528
13,0,1530,2088
13,1,1955,1528
14,0,1530,2088
14,1,1955,1528
15,0,2080,3103
15,1,1105,1453
16,0,2080,3103
16,1,1105,1453
17,0,2080,3103
17,1,1105,1453
18,0,2080,3103
18,1,1105,1453
19,0,2080,3103
19,1,1305,1453
20,0,2080,3103
20,1,1305,1453
21,0,2130,3103
21,1,1255,1453
22,0,2155,3453
22,1,1280,1453
23,0,2155,3453
23,1,1280,1453
24,0,2155,3453
24,1,1280,1453
25,0,2155,3453
25,1,1280,1453
26,0,2155,3453
26,1,1280,1453
27,0,2155,3453
27,1,1280,1453
28,0,2055,3453
28,1,1280,1453
29,0,2055,3453
29,1,1480,1453
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1550,1148
3,1,1585,1203
4,0,1550,1148
4,1,1585,1203
5,0,1600,1148
5,1,1635,1528
6,0,1550,1148
6,1,1785,1928
7,0,1550,1148
7,1,1785,1928
8,0,1550,1148
8,1,1785,1928
9,0,1550,1148
9,1,1785,1928
10,0,1550,1148
10,1,1785,1928
11,0,1550,1148
11,1,1785,1928
12,0,1550,1148
12,1,1785,1928
13,0,1550,1148
13,1,1785,1928
14,0,1450,1148
14,1,1785,1928
15,0,1450,1148
15,1,1785,1928
16,0,1450,1148
16,1,1785,1928
17,0,1450,1148
17,1,1785,1928
18,0,1450,1148
18,1,1785,1928
19,0,1450,1148
19,1,1785,1928
20,0,1450,1148
20,1,1785,1928
21,0,1450,1148
21,1,1885,2528
22,0,1400,1148
22,1,1935,2528
23,0,1400,1148
23,1,1935,2528
24,0,1400,1148
24,1,1935,2528
25,0,1400,1148
25,1,1935,2528
26,0,300,120
26,1,2503,4376
27,0,300,120
27,1,2503,4376
28,0,500,120
28,1,2503,4376
29,0,500,120
29,1,2503,4376
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1550,1148
3,1,1585,1203
4,0,1450,1148
4,1,1585,1203
5,0,1450,1148
5,1,1585,1203
6,0,1400,1148
6,1,1735,1528
7,0,1400,1148
7,1,1735,1528
8,0,1400,1148
8,1,1735,1528
9,0,1450,1148
9,1,1635,1528
10,0,1450,1148
10,1,1635,1528
11,0,1450,1148
11,1,1635,1528
12,0,1450,1148
12,1,1635,1528
13,0,1735,1618
13,1,1275,1528
14,0,1735,1618
14,1,1275,1528
15,0,1735,1618
15,1,1275,1528
16,0,1735,1618
16,1,1275,1528
17,0,1735,1618
17,1,1475,1528
18,0,1735,1618
18,1,1475,1528
19,0,1735,1618
19,1,1475,1528
20,0,1735,1618
20,1,1475,1528
21,0,1735,1618
21,1,1675,1528
